session_number,activity_id,activity_name,uai,school_name,date,timestamp,time_pattern,nb_students,avg_work_duration_minutes,continuation_rate,home_work_rate,had_second_session,second_session_date,second_session_students,tested_first,days_between_test_and_teaching,is_same_students_as_previous,overlap_rate
1,2548348,Intro ï¿½ l'IA : classification de chiffres 2 et 7,0690023A,Inconnu,2025-04-18,2025-04-18T07:32:37.000Z,morning_weekday,6,7,0,0,no,,0,no,0,,
2,3534169,Mathadata - Challenge IA MNIST  - BTS/NSI : Calcul du meilleur pixel,0690023A,Inconnu,2025-04-08,2025-04-08T15:23:34.000Z,afternoon_weekday,12,1384,0.17,0.33,yes,2025-04-14T09:26:03.000Z,2,no,,,
3,5862412,MathAData - Droite et produit scalaire pour la classification d'images - 1ere,0690023A,Inconnu,2025-04-14,2025-04-14T09:10:38.000Z,morning_weekday,22,7047,0.27,0.14,no,,0,no,,,
4,5862412,MathAData - Droite et produit scalaire pour la classification d'images - 1ere,0690023A,Inconnu,2025-04-17,2025-04-17T07:36:32.000Z,morning_weekday,1,18910,1,0,no,,0,no,,no,0
5,5862412,MathAData - Droite et produit scalaire pour la classification d'images - 1ere,0690023A,Inconnu,2025-04-20,2025-04-20T09:17:04.000Z,morning_weekend,2,902,1,0,no,,0,no,,no,0
6,5862412,MathAData - Droite et produit scalaire pour la classification d'images - 1ere,0690023A,Inconnu,2025-04-20,2025-04-20T14:32:48.000Z,afternoon_weekend,1,21,0,0,no,,0,no,,no,0
7,5862412,MathAData - Droite et produit scalaire pour la classification d'images - 1ere,0690023A,Inconnu,2025-04-28,2025-04-28T13:37:26.000Z,afternoon_weekday,1,8461,1,1,no,,0,no,,no,0
8,5862412,MathAData - Droite et produit scalaire pour la classification d'images - 1ere,0690023A,Inconnu,2025-05-02,2025-05-02T14:21:22.000Z,afternoon_weekday,1,0,0,0,no,,0,no,,no,0
9,5862412,MathAData - Droite et produit scalaire pour la classification d'images - 1ere,0690023A,Inconnu,2025-05-04,2025-05-04T11:33:13.000Z,lunch_weekend,1,0,0,0,no,,0,no,,no,0
10,5862412,MathAData - Droite et produit scalaire pour la classification d'images - 1ere,0690023A,Inconnu,2025-05-04,2025-05-04T15:02:26.000Z,afternoon_weekend,2,80,0.5,0.5,no,,0,no,,no,0